Time 		 total_aerosol_mass(Kg)
   2.222222e+00   2.490822e+02
   2.227778e+00   2.477901e+02
   2.233333e+00   2.465060e+02
   2.238889e+00   2.452300e+02
   2.244444e+00   2.439622e+02
   2.250000e+00   2.427027e+02
   2.255556e+00   2.414516e+02
   2.261111e+00   2.402089e+02
   2.266667e+00   2.389746e+02
   2.272222e+00   2.377490e+02
   2.277778e+00   2.365319e+02
   2.283333e+00   2.353235e+02
   2.288889e+00   2.341238e+02
   2.294444e+00   2.329328e+02
   2.300000e+00   2.317505e+02
   2.305556e+00   2.305771e+02
   2.311111e+00   2.294125e+02
   2.316667e+00   2.282567e+02
   2.322222e+00   2.271098e+02
   2.327778e+00   2.259717e+02
   2.333333e+00   2.248425e+02
   2.338889e+00   2.237221e+02
   2.344444e+00   2.226106e+02
   2.350000e+00   2.215080e+02
   2.355556e+00   2.204142e+02
   2.361111e+00   2.193293e+02
   2.366667e+00   2.182531e+02
   2.372222e+00   2.171858e+02
   2.377778e+00   2.161272e+02
   2.383333e+00   2.150774e+02
   2.388889e+00   2.140364e+02
   2.394444e+00   2.130040e+02
   2.400000e+00   2.119802e+02
   2.405556e+00   2.109651e+02
   2.411111e+00   2.099586e+02
   2.416667e+00   2.089606e+02
   2.422222e+00   2.079712e+02
   2.427778e+00   2.069901e+02
   2.433333e+00   2.060175e+02
   2.438889e+00   2.050533e+02
   2.444444e+00   2.040973e+02
   2.450000e+00   2.031496e+02
   2.455556e+00   2.022102e+02
   2.461111e+00   2.012788e+02
   2.466667e+00   2.003556e+02
   2.472222e+00   1.994404e+02
   2.477778e+00   1.985332e+02
   2.483333e+00   1.976339e+02
   2.488889e+00   1.967425e+02
   2.494444e+00   1.958588e+02
   2.500000e+00   1.949829e+02
   2.505556e+00   1.941147e+02
   2.511111e+00   1.932541e+02
   2.516667e+00   1.924010e+02
   2.522222e+00   1.915555e+02
   2.527778e+00   1.907173e+02
   2.533333e+00   1.898865e+02
   2.538889e+00   1.890629e+02
   2.544444e+00   1.882466e+02
   2.550000e+00   1.874374e+02
   2.555556e+00   1.866353e+02
   2.561111e+00   1.858403e+02
   2.566667e+00   1.850521e+02
   2.572222e+00   1.842709e+02
   2.577778e+00   1.834965e+02
   2.583333e+00   1.827288e+02
   2.588889e+00   1.819678e+02
   2.594444e+00   1.812134e+02
   2.600000e+00   1.804655e+02
   2.605556e+00   1.797241e+02
   2.611111e+00   1.789892e+02
   2.616667e+00   1.782605e+02
   2.622222e+00   1.775382e+02
   2.627778e+00   1.768220e+02
   2.633333e+00   1.761120e+02
   2.638889e+00   1.754081e+02
   2.644444e+00   1.747102e+02
   2.650000e+00   1.740182e+02
   2.655556e+00   1.733322e+02
   2.661111e+00   1.726519e+02
   2.666667e+00   1.719774e+02
   2.672222e+00   1.713086e+02
   2.677778e+00   1.706454e+02
   2.683333e+00   1.699877e+02
   2.688889e+00   1.693356e+02
   2.694444e+00   1.686889e+02
   2.700000e+00   1.680476e+02
   2.705556e+00   1.674117e+02
   2.711111e+00   1.667809e+02
   2.716667e+00   1.661554e+02
   2.722222e+00   1.655350e+02
   2.727778e+00   1.649197e+02
   2.733333e+00   1.643095e+02
   2.738889e+00   1.637041e+02
   2.744444e+00   1.631037e+02
   2.750000e+00   1.625082e+02
   2.755556e+00   1.619175e+02
   2.761111e+00   1.613315e+02
   2.766667e+00   1.607501e+02
   2.772222e+00   1.601735e+02
   2.777778e+00   1.596014e+02
   2.783333e+00   1.590338e+02
   2.788889e+00   1.584707e+02
   2.794444e+00   1.579120e+02
   2.800000e+00   1.573578e+02
   2.805556e+00   1.568078e+02
   2.811111e+00   1.562621e+02
   2.816667e+00   1.557206e+02
   2.822222e+00   1.551833e+02
   2.827778e+00   1.546501e+02
   2.833333e+00   1.541211e+02
   2.838889e+00   1.535960e+02
   2.844444e+00   1.530749e+02
   2.850000e+00   1.525578e+02
   2.855556e+00   1.520445e+02
   2.861111e+00   1.515352e+02
   2.866667e+00   1.510296e+02
   2.872222e+00   1.505278e+02
   2.877778e+00   1.500297e+02
   2.883333e+00   1.495352e+02
   2.888889e+00   1.490444e+02
   2.894444e+00   1.485572e+02
   2.900000e+00   1.480736e+02
   2.905556e+00   1.475935e+02
   2.911111e+00   1.471168e+02
   2.916667e+00   1.466436e+02
   2.922222e+00   1.461737e+02
   2.927778e+00   1.457072e+02
   2.933333e+00   1.452441e+02
   2.938889e+00   1.447842e+02
   2.944444e+00   1.443276e+02
   2.950000e+00   1.438741e+02
   2.955556e+00   1.434239e+02
   2.961111e+00   1.429767e+02
   2.966667e+00   1.425327e+02
   2.972222e+00   1.420917e+02
   2.977778e+00   1.416538e+02
   2.983333e+00   1.412189e+02
   2.988889e+00   1.407869e+02
   2.994444e+00   1.403579e+02
   3.000000e+00   1.399318e+02
   3.005556e+00   1.395085e+02
   3.011111e+00   1.390881e+02
   3.016667e+00   1.386705e+02
   3.022222e+00   1.382556e+02
   3.027778e+00   1.378435e+02
   3.033333e+00   1.374341e+02
   3.038889e+00   1.370274e+02
   3.044444e+00   1.366234e+02
   3.050000e+00   1.362220e+02
   3.055556e+00   1.358232e+02
   3.061111e+00   1.354270e+02
   3.066667e+00   1.350333e+02
   3.072222e+00   1.346421e+02
   3.077778e+00   1.342535e+02
   3.083333e+00   1.338673e+02
   3.088889e+00   1.334835e+02
   3.094444e+00   1.331021e+02
   3.100000e+00   1.327232e+02
   3.105556e+00   1.323466e+02
   3.111111e+00   1.319723e+02
   3.116667e+00   1.316004e+02
